model,prompt,category,tier,raw_hbar_s,raw_delta_mu,raw_delta_sigma,hbar_s,delta_mu,delta_sigma,confidence_flag,latency_ms,latency_compliant,model_semantic_capacity,prompt_complexity_score,uncertainty_amplification,collapse_risk,risk_level,recommendations,response
gemini_flash,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,0.2833425867298327,0.7428329629432527,0.1,⚠️,2.6638930139597505,True,0.78,0.18,1.0396,False,MEDIUM,[],Quick response: This is a difficult question to answer.
paraphrase-mpnet-base-v2,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,0.26291684084802913,0.6117447930120905,0.1,⚠️,2.6604990125633776,True,0.65,0.18,1.063,False,MEDIUM,[],Analysis: This is a difficult question to answer.
gpt4,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,0.27770116364536884,0.7650467481666154,0.1,⚠️,3.2360829936806113,True,0.92,0.05,1.004,False,MEDIUM,[],Let me think about this carefully. 4
claude3,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,0.28298142870956594,0.7920483981019077,0.1,⚠️,3.1729930196888745,True,0.89,0.05,1.0055,False,MEDIUM,[],I appreciate this question. 4
gemini_2.5_pro,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,0.27343570851549925,0.7380450982313231,0.1,⚠️,3.124479000689462,True,0.87,0.05,1.0065,False,MEDIUM,[],This is an interesting inquiry. 4
gemini,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,0.2704830466152625,0.7200439982744616,0.1,⚠️,3.117473010206595,True,0.84,0.05,1.008,False,MEDIUM,[],"Based on my knowledge, The answer is 4."
openai_o3,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,0.2900416582671715,0.8370511479940617,0.1,✅,3.111127996817231,True,0.95,0.05,1.0025,False,MEDIUM,[],"After careful reasoning, 4"
grok3,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,0.26228380708199245,0.6750412483823078,0.1,⚠️,3.1105889938771725,True,0.81,0.05,1.0095,False,MEDIUM,[],"Well, this is fascinating! The answer is 4."
gemini_flash,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,0.2796373271369202,0.7650467481666154,0.1,⚠️,3.130552009679377,True,0.78,0.05,1.011,False,MEDIUM,[],Quick response: 4
paraphrase-mpnet-base-v2,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,0.2553982762720751,0.6300384984901539,0.1,⚠️,3.133656980935484,True,0.65,0.05,1.0175,False,MEDIUM,[],Analysis: The answer is 4.
gpt4,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,0.28653011550487323,0.8131699043955651,0.1,✅,2.7432039787527174,True,0.92,0.06,1.0048,False,MEDIUM,[],Let me think about this carefully. This requires careful philosophical consideration of the concepts involved.
claude3,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,0.2920649542092966,0.8418700186683499,0.1,✅,2.7237760077696294,True,0.89,0.06,1.0066,False,MEDIUM,[],I appreciate this question. This is a complex question that challenges conventional thinking.
gemini_2.5_pro,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,0.28226853278230063,0.7844697901227805,0.1,⚠️,2.7276049950160086,True,0.87,0.06,1.0078,False,MEDIUM,[],This is an interesting inquiry. This is a complex question that challenges conventional thinking.
gemini,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,0.2793029488773961,0.7653363806075908,0.1,⚠️,2.7315889892634004,True,0.84,0.06,1.0096,False,MEDIUM,[],"Based on my knowledge, This is a complex question that challenges conventional thinking."
openai_o3,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,0.2991738242298187,0.8897035424563242,0.1,✅,2.7342080138623714,True,0.95,0.06,1.0030000000000001,False,MEDIUM,[],"After careful reasoning, This requires careful philosophical consideration of the concepts involved."
grok3,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,0.27091606977556276,0.7175028568196163,0.1,⚠️,2.7405650180298835,True,0.81,0.06,1.0114,False,MEDIUM,[],"Well, this is fascinating! This is a complex question that challenges conventional thinking."
gemini_flash,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,0.2889254707698423,0.8131699043955651,0.1,✅,2.7271219878457487,True,0.78,0.06,1.0132,False,MEDIUM,[],Quick response: This is a difficult question to answer.
paraphrase-mpnet-base-v2,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,0.26421407403748154,0.6696693330316418,0.1,⚠️,2.7310520235914737,True,0.65,0.06,1.021,False,MEDIUM,[],Analysis: This is a difficult question to answer.
gpt4,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,0.2850487805433,0.8022267117753847,0.1,✅,2.289479976752773,True,0.92,0.08,1.0064,False,MEDIUM,[],Let me think about this carefully. This requires careful philosophical consideration of the concepts involved.
claude3,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,0.29072709321093726,0.8305405957203984,0.1,✅,2.290415985044092,True,0.89,0.08,1.0088,False,MEDIUM,[],I appreciate this question. This is a complex question that challenges conventional thinking.
gemini_2.5_pro,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,0.281086093761449,0.7739128278303711,0.1,⚠️,2.286967996042222,True,0.87,0.08,1.0104,False,MEDIUM,[],This is an interesting inquiry. This is a complex question that challenges conventional thinking.
gemini,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,0.27829652445189457,0.7550369052003622,0.1,⚠️,2.2798719874117523,True,0.84,0.08,1.0128,False,MEDIUM,[],"Based on my knowledge, This is a complex question that challenges conventional thinking."
openai_o3,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,0.29745021250626485,0.8777304022954211,0.1,✅,2.2759510029572994,True,0.95,0.08,1.004,False,MEDIUM,[],"After careful reasoning, This requires careful philosophical consideration of the concepts involved."
grok3,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,0.27009798063243945,0.7078470986253395,0.1,⚠️,2.274205005960539,True,0.81,0.08,1.0152,False,MEDIUM,[],"Well, this is fascinating! This is a complex question that challenges conventional thinking."
gemini_flash,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,0.2882210245239091,0.8022267117753847,0.1,✅,2.2735540114808828,True,0.78,0.08,1.0176,False,MEDIUM,[],Quick response: This is a difficult question to answer.
paraphrase-mpnet-base-v2,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,0.2642294562917053,0.6606572920503169,0.1,⚠️,2.2761549917049706,True,0.65,0.08,1.028,False,MEDIUM,[],Analysis: This is a difficult question to answer.
gpt4,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,0.2833011874096356,0.7899065687565889,0.1,⚠️,2.231823018519208,True,0.92,0.1,1.008,False,MEDIUM,[],Let me think about this carefully. This requires careful philosophical consideration of the concepts involved.
claude3,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,0.28911517772606227,0.8177856241244685,0.1,✅,2.2407459910027683,True,0.89,0.1,1.011,False,MEDIUM,[],I appreciate this question. This is a complex question that challenges conventional thinking.
gemini_2.5_pro,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,0.27963708827453093,0.7620275133887092,0.1,⚠️,2.255925995996222,True,0.87,0.1,1.013,False,MEDIUM,[],This is an interesting inquiry. This is a complex question that challenges conventional thinking.
gemini,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,0.277023812106834,0.7434414764767896,0.1,⚠️,2.312325988896191,True,0.84,0.1,1.016,False,MEDIUM,[],"Based on my knowledge, This is a complex question that challenges conventional thinking."
openai_o3,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,0.29545132083580544,0.8642507164042679,0.1,✅,2.356293989578262,True,0.95,0.1,1.005,False,MEDIUM,[],"After careful reasoning, This requires careful philosophical consideration of the concepts involved."
grok3,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,0.26901916200731335,0.6969763841969903,0.1,⚠️,2.3776900197844952,True,0.81,0.1,1.019,False,MEDIUM,[],"Well, this is fascinating! This is a complex question that challenges conventional thinking."
gemini_flash,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,0.28723592612365834,0.7899065687565889,0.1,⚠️,2.390502020716667,True,0.78,0.1,1.022,False,MEDIUM,[],Quick response: This is a difficult question to answer.
paraphrase-mpnet-base-v2,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,0.2639780215631583,0.6505112919171908,0.1,⚠️,2.402711019385606,True,0.65,0.1,1.035,False,MEDIUM,[],Analysis: This is a difficult question to answer.
gpt4,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,0.2173113329746256,0.4035487905771978,0.10414944761263273,❌,2.410913002677262,True,0.92,0.75,1.06,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Let me think about this carefully. This is a classical paradox with no clear answer.
claude3,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,0.22126249398579145,0.4177916890681577,0.1,❌,2.412149013252929,True,0.89,0.75,1.0825,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",I appreciate this question. This is a classical paradox with no clear answer.
gemini_2.5_pro,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,0.22779436261557443,0.3893058920862379,0.11065878808842228,❌,2.4172620032913983,True,0.87,0.75,1.0975,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",This is an interesting inquiry. This paradox reveals the logical tensions in omnipotence concepts. It's fundamentally unanswerable within classical logic.
gemini,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,0.21995425694868928,0.379810626425598,0.10154571142231691,❌,2.420881006401032,True,0.84,0.75,1.12,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","Based on my knowledge, This is a classical paradox with no clear answer."
openai_o3,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,0.21800584707005677,0.44152985321975763,0.1,❌,2.4245399981737137,True,0.95,0.75,1.0375,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","After careful reasoning, This is a classical paradox with no clear answer."
grok3,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,0.2333620059581571,0.3560724622739981,0.11716812856421183,❌,2.4273089948110282,True,0.81,0.75,1.1425,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","Well, this is fascinating! This paradox reveals the logical tensions in omnipotence concepts. It's fundamentally unanswerable within classical logic."
gemini_flash,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,0.2340313028829984,0.4035487905771978,0.1,❌,2.429750020382926,True,0.78,0.75,1.165,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Quick response: This is a classical paradox with no clear answer.
paraphrase-mpnet-base-v2,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,0.24210955182686952,0.3323342981223982,0.11065878808842228,❌,2.433913992717862,True,0.65,0.75,1.2625,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Analysis: This paradox reveals the logical tensions in omnipotence concepts. It's fundamentally unanswerable within classical logic.
gpt4,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,0.21886657480551133,0.421317220062882,0.10164986086992955,❌,2.836717991158366,True,0.92,0.72,1.0575999999999999,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Let me think about this carefully. This requires careful philosophical consideration of the concepts involved.
claude3,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,0.22539195723735445,0.43618723959451317,0.1,❌,2.8488280076999217,True,0.89,0.72,1.0792,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",I appreciate this question. This is a complex question that challenges conventional thinking.
gemini_2.5_pro,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,0.22912814204338638,0.40644720053125083,0.10800297717430013,❌,2.855869010090828,True,0.87,0.72,1.0936,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",This is an interesting inquiry. This is a complex question that challenges conventional thinking.
gemini,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,0.22207153595616586,0.3965338541768302,0.1,❌,2.8638509975280613,True,0.84,0.72,1.1152,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","Based on my knowledge, This is a complex question that challenges conventional thinking."
openai_o3,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,0.22243154159872847,0.46097060548056507,0.1,❌,2.870813012123108,True,0.95,0.72,1.036,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","After careful reasoning, This requires careful philosophical consideration of the concepts involved."
grok3,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,0.23439022408780555,0.3717504882907782,0.11435609347867073,❌,2.876206999644637,True,0.81,0.72,1.1368,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","Well, this is fascinating! This is a complex question that challenges conventional thinking."
gemini_flash,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,0.23777333752290727,0.421317220062882,0.1,❌,2.8804310131818056,True,0.78,0.72,1.1583999999999999,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Quick response: This is a difficult question to answer.
paraphrase-mpnet-base-v2,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,0.24236301954812048,0.3469671224047263,0.10800297717430013,❌,2.87938499241136,True,0.65,0.72,1.252,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Analysis: This is a difficult question to answer.
gpt4,Is the statement 'I am lying' true or false?,logical_paradox,2,0.22817359194644182,0.9997784770857754,0.052074723806316364,0.21550423375726965,0.38581451430740077,0.10664903435533592,❌,3.539485012879595,True,0.92,0.78,1.0624,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Let me think about this carefully. This requires careful philosophical consideration of the concepts involved.
claude3,Is the statement 'I am lying' true or false?,logical_paradox,2,0.22817359194644182,0.9997784770857754,0.052074723806316364,0.2170056250343912,0.399431497165309,0.1,❌,3.5294950066599995,True,0.89,0.78,1.0857999999999999,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",I appreciate this question. This is a complex question that challenges conventional thinking.
gemini_2.5_pro,Is the statement 'I am lying' true or false?,logical_paradox,2,0.22817359194644182,0.9997784770857754,0.052074723806316364,0.2261907025286276,0.37219753144949247,0.11331459900254441,❌,3.5245730250608176,True,0.87,0.78,1.1014,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",This is an interesting inquiry. This is a complex question that challenges conventional thinking.
gemini,Is the statement 'I am lying' true or false?,logical_paradox,2,0.22817359194644182,0.9997784770857754,0.052074723806316364,0.21856513766456087,0.36311954287755366,0.10398280849645251,❌,3.5203279985580593,True,0.84,0.78,1.1248,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","Based on my knowledge, This is a complex question that challenges conventional thinking."
openai_o3,Is the statement 'I am lying' true or false?,logical_paradox,2,0.22817359194644182,0.9997784770857754,0.052074723806316364,0.21346999496517344,0.4221264685951562,0.1,❌,3.500866994727403,True,0.95,0.78,1.0390000000000001,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","After careful reasoning, This requires careful philosophical consideration of the concepts involved."
grok3,Is the statement 'I am lying' true or false?,logical_paradox,2,0.22817359194644182,0.9997784770857754,0.052074723806316364,0.2320506115063024,0.34042457144770655,0.1199801636497529,❌,3.4947960230056196,True,0.81,0.78,1.1481999999999999,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']","Well, this is fascinating! This is a complex question that challenges conventional thinking."
gemini_flash,Is the statement 'I am lying' true or false?,logical_paradox,2,0.22817359194644182,0.9997784770857754,0.052074723806316364,0.230127565898161,0.38581451430740077,0.1,❌,3.489333001198247,True,0.78,0.78,1.1716,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Quick response: This is a difficult question to answer.
paraphrase-mpnet-base-v2,Is the statement 'I am lying' true or false?,logical_paradox,2,0.22817359194644182,0.9997784770857754,0.052074723806316364,0.24154618066063122,0.3177296000178595,0.11331459900254441,❌,3.483457025140524,True,0.65,0.78,1.273,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Analysis: This is a difficult question to answer.
gpt4,What happens when an unstoppable force meets an immovable object?,logical_paradox,2,0.22816999001660268,0.9997469124908119,0.052074723806316364,0.2224977068811757,0.44528727482340763,0.1,❌,6.651211995631456,True,0.92,0.68,1.0544,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",Let me think about this carefully. This requires careful philosophical consideration of the concepts involved.
claude3,What happens when an unstoppable force meets an immovable object?,logical_paradox,2,0.22816999001660268,0.9997469124908119,0.052074723806316364,0.23077017166334007,0.4610032962877632,0.1,❌,6.612981989746913,True,0.89,0.68,1.0748,True,MEDIUM,"['Semantic collapse detected - review prompt complexity', 'Low precision confidence - consider model retraining']",I appreciate this question. This is a complex question that challenges conventional thinking.
