model,prompt,category,tier,hbar_s,delta_mu,delta_sigma,confidence_flag,latency_ms,latency_compliant,component_count,cache_hits,weighted_hbar_s,drift_velocity,stability_score,risk_level,risk_score,recommendations,response,collapsed
gemini_2.5_pro,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,❌,3.270682005677372,True,1,5,2.053689450871569,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",This is an interesting inquiry that requires careful consideration. World War II officially ended in 1945.,True
gemini_flash,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,❌,3.2894029864110053,True,1,5,2.053689450871569,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: 1945.,True
grok3,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,❌,3.3074470120482147,True,1,5,2.053689450871569,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! That would be 1945 - what a year that was!",True
openai_o3,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,❌,3.3075929968617857,True,1,5,2.053689450871569,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, Historical records show 1945 as the end date.",True
paraphrase-mpnet-base-v2,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,❌,3.325418976601213,True,1,5,2.053689450871569,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: End date: 1945.,True
gpt4,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,❌,2.6910040178336203,True,1,5,0.4228694833195644,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. William Shakespeare wrote Romeo and Juliet.,True
claude3,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,❌,2.707987994654104,True,1,5,0.4228694833195644,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. Shakespeare is the author of Romeo and Juliet.,True
gemini,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,❌,2.719798998441547,True,1,5,0.4228694833195644,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, Romeo and Juliet was written by Shakespeare.",True
gemini_2.5_pro,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,❌,2.729694009758532,True,1,5,0.4228694833195644,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",This is an interesting inquiry that requires careful consideration. William Shakespeare authored this famous tragedy.,True
gemini_flash,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,❌,2.7382730040699244,True,1,5,0.4228694833195644,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: Shakespeare.,True
grok3,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,❌,2.744322002399713,True,1,5,0.4228694833195644,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! The Bard himself - William Shakespeare!",True
openai_o3,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,❌,2.7477019757498056,True,1,5,0.4228694833195644,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, William Shakespeare is the established author.",True
paraphrase-mpnet-base-v2,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,❌,2.750504994764924,True,1,5,0.4228694833195644,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: Author: William Shakespeare.,True
gpt4,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,❌,2.9412389849312603,True,1,5,-0.2835997751646842,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. Jupiter is the largest planet in our solar system.,True
claude3,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,❌,2.9331330151762813,True,1,5,-0.2835997751646842,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. Jupiter is our solar system's largest planet.,True
gemini,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,❌,2.9292869730852544,True,1,5,-0.2835997751646842,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, The largest planet is Jupiter.",True
gemini_2.5_pro,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,❌,2.9230370128061622,True,1,5,-0.2835997751646842,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",This is an interesting inquiry that requires careful consideration. Jupiter holds the distinction of being the largest planet.,True
gemini_flash,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,❌,2.9233460081741214,True,1,5,-0.2835997751646842,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: Jupiter.,True
grok3,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,❌,2.9522870026994497,True,1,5,-0.2835997751646842,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! That's Jupiter - the giant of our solar system!",True
openai_o3,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,❌,2.9965720023028553,True,1,5,-0.2835997751646842,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, Jupiter is confirmed as the largest planet.",True
paraphrase-mpnet-base-v2,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,❌,3.0567799985874444,True,1,5,-0.2835997751646842,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: Largest: Jupiter.,True
gpt4,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,❌,2.641062979819253,True,1,5,0.8463135352546923,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. 2 + 2 equals 4.,True
claude3,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,❌,2.649880014359951,True,1,5,0.8463135352546923,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. The sum of 2 and 2 is 4.,True
gemini,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,❌,2.655635995324701,True,1,5,0.8463135352546923,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, 2 plus 2 equals 4.",True
gemini_2.5_pro,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,❌,2.6601270074024796,True,1,5,0.8463135352546923,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","This is an interesting inquiry that requires careful consideration. When adding 2 and 2, the result is 4.",True
gemini_flash,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,❌,2.6639770076144487,True,1,5,0.8463135352546923,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: 4,True
grok3,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,❌,2.667468012077734,True,1,5,0.8463135352546923,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! Easy one! 2 + 2 = 4!",True
openai_o3,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,❌,2.671088994247839,True,1,5,0.8463135352546923,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, Through arithmetic calculation: 2 + 2 = 4.",True
paraphrase-mpnet-base-v2,What is 2 + 2?,basic_math,1,0.22038617877724115,0.9326994796301317,0.052074723806316364,❌,2.674380986718461,True,1,5,0.8463135352546923,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: Sum: 4,True
gpt4,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,❌,2.5747660256456584,True,1,5,0.674437486526358,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. 10 - 3 equals 7.,True
claude3,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,❌,2.575104997958988,True,1,5,0.674437486526358,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. The difference is 7.,True
gemini,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,❌,2.5799880095291883,True,1,5,0.674437486526358,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, 10 minus 3 equals 7.",True
gemini_2.5_pro,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,❌,2.56659000297077,True,1,5,0.674437486526358,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",This is an interesting inquiry that requires careful consideration. Subtracting 3 from 10 gives us 7.,True
gemini_flash,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,❌,2.5900090113282204,True,1,5,0.674437486526358,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: 7,True
grok3,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,❌,2.5631419848650694,True,1,5,0.674437486526358,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! Simple! 10 - 3 = 7!",True
openai_o3,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,❌,2.567846007877961,True,1,5,0.674437486526358,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, The calculation yields 7.",True
paraphrase-mpnet-base-v2,What is 10 - 3?,basic_math,1,0.22804046540251227,0.9986121876403846,0.052074723806316364,❌,2.5591290032025427,True,1,5,0.674437486526358,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: Result: 7,True
gpt4,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,❌,2.7553869877010584,True,1,5,0.4644798009076498,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. 2 + 2 equals 4.,True
claude3,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,❌,2.707753999857232,True,1,5,0.4644798009076498,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. The sum of 2 and 2 is 4.,True
gemini,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,❌,2.697354997508228,True,1,5,0.4644798009076498,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, 2 plus 2 equals 4.",True
gemini_2.5_pro,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,❌,2.6928079896606505,True,1,5,0.4644798009076498,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","This is an interesting inquiry that requires careful consideration. When adding 2 and 2, the result is 4.",True
gemini_flash,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,❌,2.6861710066441447,True,1,5,0.4644798009076498,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: 4,True
grok3,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,❌,2.685825020307675,True,1,5,0.4644798009076498,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! Easy one! 2 + 2 = 4!",True
openai_o3,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,❌,2.6841069920919836,True,1,5,0.4644798009076498,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, Through arithmetic calculation: 2 + 2 = 4.",True
paraphrase-mpnet-base-v2,What is 5 × 4?,basic_math,1,0.2281742264681042,0.9997840376064118,0.052074723806316364,❌,2.687294007046148,True,1,5,0.4644798009076498,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: Sum: 4,True
gpt4,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,❌,3.3494780072942376,True,1,5,0.7403416572679329,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. 2 + 2 equals 4.,True
claude3,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,❌,3.3419640094507486,True,1,5,0.7403416572679329,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. The sum of 2 and 2 is 4.,True
gemini,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,❌,3.3356519998051226,True,1,5,0.7403416572679329,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, 2 plus 2 equals 4.",True
gemini_2.5_pro,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,❌,3.3226070227101445,True,1,5,0.7403416572679329,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","This is an interesting inquiry that requires careful consideration. When adding 2 and 2, the result is 4.",True
gemini_flash,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,❌,3.3273419830948114,True,1,5,0.7403416572679329,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: 4,True
grok3,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,❌,3.317670983960852,True,1,5,0.7403416572679329,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! Easy one! 2 + 2 = 4!",True
openai_o3,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,❌,3.3029680198524147,True,1,5,0.7403416572679329,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, Through arithmetic calculation: 2 + 2 = 4.",True
paraphrase-mpnet-base-v2,What is 15 ÷ 3?,basic_math,1,0.22811319804112506,0.9992492963397709,0.052074723806316364,❌,3.293574001872912,True,1,5,0.7403416572679329,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: Sum: 4,True
gpt4,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,❌,6.401268998160958,True,1,5,0.47146771928579373,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. This is a classical paradox that highlights the logical contradictions in the concept of omnipotence.,True
claude3,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,❌,6.477873015683144,True,1,5,0.47146771928579373,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. This paradox reveals the inherent tensions in absolute power concepts.,True
gemini,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,❌,6.46911800140515,True,1,5,0.47146771928579373,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, This creates a logical contradiction that challenges our understanding of omnipotence.",True
gemini_2.5_pro,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,❌,6.4828180184122175,True,1,5,0.47146771928579373,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",This is an interesting inquiry that requires careful consideration. This philosophical paradox demonstrates the limits of logical consistency in omnipotence.,True
gemini_flash,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,❌,6.478085007984191,True,1,5,0.47146771928579373,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: Logical paradox - no clear answer.,True
grok3,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,❌,6.473468994954601,True,1,5,0.47146771928579373,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! Ah, the classic omnipotence paradox! It's like asking if infinity can contain itself.",True
openai_o3,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,❌,6.437662988901138,True,1,5,0.47146771928579373,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, This paradox exposes contradictions in unlimited power concepts through logical analysis.",True
paraphrase-mpnet-base-v2,Can an omnipotent being create a stone so heavy they cannot lift it?,logical_paradox,2,0.22814200027393497,0.9995016484884155,0.052074723806316364,❌,6.417862983653322,True,1,5,0.47146771928579373,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: Paradox detected: omnipotence contradiction.,True
gpt4,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,❌,2.2849079978186637,True,1,5,0.742395290923563,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. This is a classical paradox that highlights the logical contradictions in the concept of omnipotence.,True
claude3,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,❌,2.292101999046281,True,1,5,0.742395290923563,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. This paradox reveals the inherent tensions in absolute power concepts.,True
gemini,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,❌,2.297850005561486,True,1,5,0.742395290923563,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, This creates a logical contradiction that challenges our understanding of omnipotence.",True
gemini_2.5_pro,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,❌,2.3021670058369637,True,1,5,0.742395290923563,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",This is an interesting inquiry that requires careful consideration. This philosophical paradox demonstrates the limits of logical consistency in omnipotence.,True
gemini_flash,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,❌,2.3061480023898184,True,1,5,0.742395290923563,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: Logical paradox - no clear answer.,True
grok3,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,❌,2.324798988411203,True,1,5,0.742395290923563,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! Ah, the classic omnipotence paradox! It's like asking if infinity can contain itself.",True
openai_o3,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,❌,2.328834991203621,True,1,5,0.742395290923563,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, This paradox exposes contradictions in unlimited power concepts through logical analysis.",True
paraphrase-mpnet-base-v2,"If Pinocchio says 'My nose will grow now', what happens?",logical_paradox,2,0.22812232618910588,0.9993292695988663,0.052074723806316364,❌,2.3144570004660636,True,1,5,0.742395290923563,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Semantic analysis suggests: Paradox detected: omnipotence contradiction.,True
